,,,,,,,,,,,
Loan Id,Quarters,Years,Segment of Loan,Lender Name,Type of Loan,Original Loan size,Outstanding loan amount,Borrower Age,Borrower Income,New to Credit (Y /N),Gender
PVT00MICROV1974,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,18190,7276,36,895700,Y,M
PVT00MICROV392,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,18360,7601,41,448902,Y,F
PVT00MICROV156,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,21800,7770,22,864863,Y,M
PVT00MICROV2333,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,26750,11235,46,667298,N,M
PVT00MICROV359,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,26750,8400,44,930150,N,M
PVT00MICROV800,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,28080,11154,25,419958,N,M
PVT00MICROV435,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,37060,18020,31,485130,N,M
PVT00MICROV1408,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,37800,12614,55,432630,N,M
PVT00MICROV309,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,37800,17472,29,962470,N,F
PVT00MICROV812,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,38500,17304,33,951804,N,M
PVT00MICROV1082,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,37440,12830,36,392587,N,M
PVT00MICROV2296,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,38520,16718,39,825990,Y,M
PVT00MICROV2368,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,38160,18612,44,718524,N,M
PVT00MICROV619,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,38160,16632,28,745710,N,M
PVT00MICROV191,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,37370,14511,51,1070499,Y,M
PVT00MICROV64,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,39220,18492,49,598083,N,M
PVT00MICROV828,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,39900,12889,36,725445,N,M
PVT00MICROV1813,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,41200,18404,48,1729750,N,F
PVT00MICROV2091,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,43050,19216,26,1183506,N,F
PVT00MICROV856,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,59400,17452,45,1118988,N,M
PVT00MICROV99,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,62640,26187,40,1103843,N,F
PVT00MICROV1005,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,71020,26987,31,683445,N,M
PVT00MICROV1126,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,81400,30192,44,1578552,N,M
PVT00MICROV386,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,79310,33957,27,254616,Y,M
PVT00MICROV2407,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,80340,25209,46,1658928,N,M
PVT00MICROV1984,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,86670,29200,52,2058264,N,M
PVT00MICROV451,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,83640,42115,42,790113,Y,M
PSUIN30038MICRO0119334,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,1080,457,34,362944,N,M
PSUIN300129MICRO012526,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,6060,2533,55,411201,N,F
PSUIN300417MICRO0131208,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,9450,3429,45,346392,N,F
PSUIN30031MICRO017297,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,17600,7756,26,398200,Y,M
PSUIN30092MICRO0131165,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,18190,8241,36,401011,N,M
PSUIN30039MICRO0129599,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,20900,8914,38,413696,N,F
PSUIN300352MICRO0137901,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,26250,10660,27,479544,Y,F
PSUIN300246MICRO0128777,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,27250,11070,56,419107,N,M
PSUIN300430MICRO0119195,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,26250,11110,44,261164,N,M
PSUIN300121MICRO0120137,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,28600,13650,29,423570,Y,M
PSUIN300242MICRO0129714,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,27300,12355,50,282660,Y,F
PSUIN300336MICRO012698,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,27560,10197,28,220830,N,M
PSUIN300130MICRO0128084,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,28600,10296,44,497640,N,F
PSUIN300406MICRO0145857,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,26780,11739,29,459217,N,M
PSUIN300213MICRO01513,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,28620,10489,30,308588,N,M
PSUIN30019MICRO01216,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,32960,12556,46,413424,N,F
PSUIN300451MICRO0127974,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,34320,14206,66,352728,Y,M
PSUIN300125MICRO0110670,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,37060,14851,52,351450,N,M
PSUIN300354MICRO0143454,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,37060,15422,27,398546,N,M
PSUIN300350MICRO0125880,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,35700,16905,38,503470,N,M
PSUIN300183MICRO0133897,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,38150,13608,34,373905,N,M
PSUIN300107MICRO0149619,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,35700,16065,28,314184,N,M
PSUIN300402MICRO0147725,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,38150,15729,38,326230,N,M
PSUIN300135MICRO0124110,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,38150,15652,51,429728,N,F
PSUIN300482MICRO0126756,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,40330,17182,48,290304,N,M
PSUIN300215MICRO0123935,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,41420,18392,50,372680,N,M
PSUIN300479MICRO0139911,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,38380,17077,47,295568,Y,F
PSUIN300134MICRO0122820,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,40400,16568,38,312795,Y,M
PSUIN300254MICRO0121923,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,44280,19741,48,359370,N,M
PSUIN30022MICRO0126148,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,44100,19685,34,466317,Y,M
PSUIN30074MICRO0143247,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,42840,15875,42,289062,N,M
PSUIN300494MICRO0136341,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,43680,16938,34,344085,N,F
PSUIN300347MICRO0115484,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,51510,21083,43,353923,N,M
PSUIN300180MICRO012810,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,57240,19106,39,329154,N,M
PSUIN300339MICRO0123314,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,56100,23331,46,380940,Y,M
PSUIN300498MICRO0137756,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,55550,23226,34,320776,N,F
PSUIN300290MICRO0110662,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,57570,24304,29,339444,N,F
PSUIN30026MICRO0117869,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,63800,23751,58,292536,N,M
PSUIN30031MICRO0127085,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,59160,28188,36,492794,N,F
PSUIN300467MICRO019486,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,64310,23765,44,272195,N,F
PSUIN300129MICRO014876,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,66150,28633,64,340578,Y,F
PSUIN300133MICRO0135237,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,63630,25552,46,320976,N,M
PSUIN300222MICRO0128963,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,70400,26457,44,353496,N,M
PSUIN300191MICRO0130009,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,64640,28761,52,335175,N,M
PSUIN300296MICRO0111980,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,78440,32138,43,427130,Y,F
PSUIN300273MICRO0116111,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,82840,35910,57,235008,N,M
PSUIN300349MICRO0128109,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,85020,28360,62,334956,N,M
PSUIN30049MICRO0118298,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,94940,38258,49,390864,N,F
PSUIN300139MICRO017379,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,97850,47025,56,398860,N,F
PSUIN30023MICRO0112061,Q1,FY21,Microfinance,PSU Bank,Microfinance Loan,110240,41594,60,1405560,Y,M
PSUIN300403MICRO0138246,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,114480,44329,56,1224300,Y,M
PSUIN30096MICRO013607,Q1,FY19,Microfinance,PSU Bank,Microfinance Loan,124260,50490,38,1381680,Y,M
PSUIN300326MICRO0122629,Q1,FY20,Microfinance,PSU Bank,Microfinance Loan,121540,50551,38,1104480,N,F
NBFCIN301AUTOCV20207,Q1,FY21,Retail,NBFC,Auto Loans,153504,44722,48,2014740,N,M
NBFCIN301AUTO20107,Q1,FY21,Retail,NBFC,Auto Loans,263844,37280,46,2687300,N,M
NBFCIN1612AUTO35553A,Q1,FY19,Retail,NBFC,Auto Loans,297000,100980,28,1123200,N,M
NBFCIN201AAUTO20107,Q1,FY20,Retail,NBFC,Auto Loans,109037,117674,56,1270665,N,M
IC00213AUL11294,Q1,FY21,Retail,PVT Bank,Auto Loans,369086,394169,31,5482540,Y,M
PSUNAUTO263LOA46763,Q1,FY21,Retail,PSU Bank,Auto Loans,251736,104223,46,2741948,N,M
PSUNAUTO489LOA24271,Q1,FY19,Retail,PSU Bank,Auto Loans,339026,204502,55,3390265,N,M
PVTN29CCL10461,Q1,FY19,Retail,PVT Bank,Credit Card,39458,18646,31,338250,N,M
PSUN89CC11836,Q1,FY20,Retail,PSU Bank,Credit Card,23520,12566,56,387555,N,F
PVTN76CCL8842,Q1,FY20,Retail,PVT Bank,Credit Card,21522,7891,46,439449,N,F
PVTN81CCL10483,Q1,FY19,Retail,PVT Bank,Credit Card,35964,19060,56,444478,N,F
PVTN31CCL9013,Q1,FY20,Retail,PVT Bank,Credit Card,40657,24744,28,445681,Y,F
PVTN47CCL950,Q1,FY19,Retail,PVT Bank,Credit Card,22140,5278,37,445107,N,F
PVTN69CCL165,Q1,FY19,Retail,PVT Bank,Credit Card,22018,9561,35,458184,N,M
PVTN86CCL6938,Q1,FY19,Retail,PVT Bank,Credit Card,33277,14909,57,509652,Y,M
PSUN14CC11718,Q1,FY21,Retail,PSU Bank,Credit Card,10812,3256,64,537522,N,F
PSUN23CC7009,Q1,FY19,Retail,PSU Bank,Credit Card,22365,13687,36,708233,Y,M
PVTN40CCL8541,Q1,FY21,Retail,PVT Bank,Credit Card,12978,5140,34,699712,Y,F
NBFCINCC30009763,Q1,FY20,Retail,NBFC,Credit Card,45792,24252,30,703144,Y,M
PSUN22CC9441,Q1,FY20,Retail,PSU Bank,Credit Card,31916,18258,58,726232,Y,M
NBFCINCC30008539,Q1,FY19,Retail,NBFC,Credit Card,19581,8976,57,771645,N,F
NBFCINCC30003164,Q1,FY19,Retail,NBFC,Credit Card,13500,6110,59,757462,Y,M
PVTN69CCL8727,Q1,FY21,Retail,PVT Bank,Credit Card,27878,17728,56,801109,Y,M
NBFCINCC30007378,Q1,FY19,Retail,NBFC,Credit Card,33150,20679,36,780504,N,F
NBFCINCC30004825,Q1,FY20,Retail,NBFC,Credit Card,32033,17636,39,810680,N,M
PVTN92CCL3385,Q1,FY19,Retail,PVT Bank,Credit Card,39376,16140,39,811022,N,M
PVTN64CCL5018,Q1,FY19,Retail,PVT Bank,Credit Card,39882,26177,37,875924,N,M
NBFCINCC300010805,Q1,FY20,Retail,NBFC,Credit Card,31080,12905,35,827322,Y,M
NBFCINCC30001392,Q1,FY21,Retail,NBFC,Credit Card,35855,17963,36,866112,N,M
PSUN50CC2867,Q1,FY21,Retail,PSU Bank,Credit Card,28770,12357,36,879517,N,M
PVTN22CCL4849,Q1,FY19,Retail,PVT Bank,Credit Card,10098,6322,57,915064,N,M
PVTN97CCL1381,Q1,FY20,Retail,PVT Bank,Credit Card,41764,21299,27,872640,Y,F
NBFCINCC30002069,Q1,FY20,Retail,NBFC,Credit Card,26429,9781,64,875468,Y,F
PVTN54CCL8390,Q1,FY20,Retail,PVT Bank,Credit Card,35148,17574,31,972216,N,F
PVTN12CCL3570,Q1,FY21,Retail,PVT Bank,Credit Card,19176,10253,32,974916,N,M
PVTN30CCL6667,Q1,FY21,Retail,PVT Bank,Credit Card,34236,8815,53,974352,N,F
PSUN68CC4636,Q1,FY21,Retail,PSU Bank,Credit Card,19158,10843,55,990820,N,M
PVTN48CCL3172,Q1,FY20,Retail,PVT Bank,Credit Card,34775,19080,51,1013584,N,M
NBFCINCC30002969,Q1,FY20,Retail,NBFC,Credit Card,30250,13488,39,1065618,N,F
PVTN56CCL1841,Q1,FY20,Retail,PVT Bank,Credit Card,30179,15382,25,1110060,Y,F
PVTN57CCL2946,Q1,FY20,Retail,PVT Bank,Credit Card,42946,10736,41,1105849,N,M
PSUN61CC2716,Q1,FY19,Retail,PSU Bank,Credit Card,24378,12798,33,1162611,Y,M
NBFCINCC30004693,Q1,FY21,Retail,NBFC,Credit Card,22572,7448,38,1383210,N,M
PVTN76CCL12301,Q1,FY21,Retail,PVT Bank,Credit Card,47112,17096,41,1467936,N,M
NBFCIN060TWL13O,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,5200,3518,48,982326,N,M
NBFCIN060TWL23,Q1,FY21,Retail,NBFC,Two-Wheeler Loan,11660,6911,32,1850200,N,M
NBFCIN060TWL35,Q1,FY21,Retail,NBFC,Two-Wheeler Loan,11220,7650,42,444720,N,M
NBFCIN060TWL42,Q1,FY21,Retail,NBFC,Two-Wheeler Loan,29290,19282,27,745514,N,M
NBFCIN162TWL3880,Q1,FY21,Retail,NBFC,Two-Wheeler Loan,18190,10648,25,785052,N,M
NBFCIN145TWL10111,Q1,FY21,Retail,NBFC,Two-Wheeler Loan,18720,10382,55,657180,N,F
NBFCIN329TWL5761,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,25500,14575,49,802152,N,M
NBFCIN252TWL826,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,32860,20633,33,778165,N,M
NBFCIN300TWL577,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,43460,26863,54,912221,N,M
IC0700TWL635,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,51450,36176,21,947752,Y,F
IC0700TWL76,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,30300,22470,37,641552,N,M
PVTN318TWL4524,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,47300,31153,53,804984,N,M
PVTN48TWL8361,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,38760,23256,38,169236,N,M
PVTN454TWL1147,Q1,FY20,Retail,NBFC,Two-Wheeler Loan,38880,21297,48,1019340,N,M
PVTN441TWL10842,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,46200,28512,46,262899,N,M
PVTN202TWL10315,Q1,FY19,Retail,NBFC,Two-Wheeler Loan,56160,39312,51,1218984,N,F
PVTN120TWL3742,Q1,FY20,Retail,PVT Bank,Two-Wheeler Loan,97900,27234,33,1139283,Y,F
PVTN210TWL8039,Q1,FY20,Retail,PVT Bank,Two-Wheeler Loan,41600,14080,47,569415,N,M
PVTN335TWL7168,Q1,FY19,Retail,PVT Bank,Two-Wheeler Loan,40700,13186,55,583524,N,M
PVTN340TWL7109,Q1,FY19,Retail,PVT Bank,Two-Wheeler Loan,52800,16896,46,298530,N,M
PVTN352TWL317,Q1,FY21,Retail,PVT Bank,Two-Wheeler Loan,25680,10560,39,254664,N,M
PVTN411TWL1970,Q1,FY19,Retail,PVT Bank,Two-Wheeler Loan,43050,15194,58,477144,N,M
PVTN45TWL5558,Q1,FY20,Retail,PVT Bank,Two-Wheeler Loan,62540,21222,41,820664,N,M
PVTN51TWL9984,Q1,FY21,Retail,PVT Bank,Two-Wheeler Loan,129710,37627,29,1018776,Y,M
NBFCIN000COML690,Q2,FY21,Commercial,NBFC,Commercial Loan,11680440,3607720,33,4339980,N,M
PVT00COM142,Q2,FY20,Commercial,PVT Bank,Commercial Loan,8202920,2150280,33,3135825,Y,M
PVT00COM183,Q2,FY20,Commercial,PVT Bank,Commercial Loan,9384960,3248640,30,4737600,Y,M
PVT00COM44,Q2,FY20,Commercial,PVT Bank,Commercial Loan,22572000,4556200,58,8151000,N,F
PVT00COM54,Q2,FY19,Commercial,PVT Bank,Commercial Loan,5166000,2509200,55,1863450,N,M
NBFCIN0001762,Q2,FY20,Microfinance,NBFC,Microfinance Loan,7350,2121,55,913815,N,M
NBFCIN0001013,Q2,FY20,Microfinance,NBFC,Microfinance Loan,16200,5559,30,736010,Y,F
NBFCIN0002052T,Q2,FY19,Microfinance,NBFC,Microfinance Loan,16050,5355,37,473800,N,M
NBFCIN0001142,Q2,FY19,Microfinance,NBFC,Microfinance Loan,17280,5580,50,888849,Y,M
NBFCIN0002052,Q2,FY20,Microfinance,NBFC,Microfinance Loan,16640,4400,50,676260,Y,M
NBFCIN000264,Q2,FY19,Microfinance,NBFC,Microfinance Loan,16160,5385,35,599563,N,F
NBFCIN000187,Q2,FY20,Microfinance,NBFC,Microfinance Loan,18900,5932,39,580261,Y,F
NBFCIN000433,Q2,FY21,Microfinance,NBFC,Microfinance Loan,24840,7270,44,674032,Y,M
NBFCIN0002116,Q2,FY19,Microfinance,NBFC,Microfinance Loan,24480,6864,52,904150,Y,F
NBFCIN000680,Q2,FY21,Microfinance,NBFC,Microfinance Loan,26000,7800,37,660592,Y,F
NBFCIN0002064O,Q2,FY19,Microfinance,NBFC,Microfinance Loan,26260,9555,44,1078410,N,M
NBFCIN000212,Q2,FY20,Microfinance,NBFC,Microfinance Loan,27560,8665,25,480908,Y,F
NBFCIN00021,Q2,FY21,Microfinance,NBFC,Microfinance Loan,28280,7786,48,262802,Y,M
NBFCIN000582,Q2,FY19,Microfinance,NBFC,Microfinance Loan,34240,9587,55,677952,N,M
NBFCIN0002235,Q2,FY20,Microfinance,NBFC,Microfinance Loan,33990,10741,30,646299,N,M
NBFCIN0002241,Q2,FY19,Microfinance,NBFC,Microfinance Loan,35970,9424,35,683975,N,M
NBFCIN0001287,Q2,FY21,Microfinance,NBFC,Microfinance Loan,34680,9914,55,876810,Y,M
NBFCIN000576,Q2,FY21,Microfinance,NBFC,Microfinance Loan,35700,10186,41,208488,Y,M
NBFCIN00084,Q2,FY20,Microfinance,NBFC,Microfinance Loan,34340,13096,38,436826,N,M
NBFCIN0002202,Q2,FY21,Microfinance,NBFC,Microfinance Loan,37800,12257,36,810160,Y,F
NBFCIN0002252,Q2,FY21,Microfinance,NBFC,Microfinance Loan,38150,11424,54,239691,N,M
NBFCIN000797,Q2,FY19,Microfinance,NBFC,Microfinance Loan,36050,13090,46,1147764,Y,M
NBFCIN000802,Q2,FY20,Microfinance,NBFC,Microfinance Loan,38150,11063,51,254980,N,M
NBFCIN0001413,Q2,FY19,Microfinance,NBFC,Microfinance Loan,38850,11159,28,1301265,Y,F
NBFCIN000518,Q2,FY19,Microfinance,NBFC,Microfinance Loan,48300,15456,38,878498,Y,M
NBFCIN0002270,Q2,FY20,Microfinance,NBFC,Microfinance Loan,50760,14241,37,741090,Y,F
NBFCIN000848,Q2,FY20,Microfinance,NBFC,Microfinance Loan,51940,12994,51,1058925,N,M
NBFCIN000854,Q2,FY20,Microfinance,NBFC,Microfinance Loan,57200,15683,43,874956,N,F
NBFCIN0002258,Q2,FY19,Microfinance,NBFC,Microfinance Loan,58710,19186,38,760512,N,F
NBFCIN0002417,Q2,FY21,Microfinance,NBFC,Microfinance Loan,57570,21135,37,691560,Y,M
NBFCIN000277,Q2,FY20,Microfinance,NBFC,Microfinance Loan,74550,24835,39,1065645,N,M
NBFCIN0001100,Q2,FY19,Microfinance,NBFC,Microfinance Loan,81600,26664,44,1127714,N,M
NBFCIN0001098,Q2,FY19,Microfinance,NBFC,Microfinance Loan,84240,25272,36,845748,N,M
NBFCIN000425,Q2,FY21,Microfinance,NBFC,Microfinance Loan,88740,31058,44,663374,N,M
NBFCIN000400,Q2,FY20,Microfinance,NBFC,Microfinance Loan,89760,23997,55,436346,Y,M
NBFCIN000998S,Q2,FY21,Microfinance,NBFC,Microfinance Loan,100100,33742,58,510405,N,F
NBFCIN000323,Q2,FY21,Microfinance,NBFC,Microfinance Loan,103550,29070,30,794560,N,M
NBFCIN000401,Q2,FY20,Microfinance,NBFC,Microfinance Loan,104760,30972,44,515592,N,M
NBFCIN000411W,Q2,FY20,Microfinance,NBFC,Microfinance Loan,117720,33264,32,1034100,N,M
NBFCIN000489,Q2,FY20,Microfinance,NBFC,Microfinance Loan,129710,36057,42,274669,N,M
NBFCIN000283,Q2,FY21,Microfinance,NBFC,Microfinance Loan,137500,42800,25,472515,Y,M
PVT00MICROV635,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,5150,1632,28,827645,N,M
PVT00MICROV1351,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,7350,2284,36,587475,N,F
PVT00MICROV2320,Q2,FY19,Microfinance,PVT Bank,Microfinance Loan,7420,2926,30,710306,N,M
PVT00MICROV2194,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,16500,5775,34,816687,N,M
PVT00MICROV503,Q2,FY19,Microfinance,PVT Bank,Microfinance Loan,15150,6615,36,841968,N,M
PVT00MICROV1310,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,17600,6854,34,486200,N,M
PVT00MICROV1524,Q2,FY20,Microfinance,PVT Bank,Microfinance Loan,17600,7875,44,683532,Y,F
PVT00MICROV2100,Q2,FY19,Microfinance,PVT Bank,Microfinance Loan,17600,8272,32,893216,N,M
PVT00MICROV254,Q2,FY19,Microfinance,PVT Bank,Microfinance Loan,16320,5880,35,1364580,N,M
PVT00MICROV750,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,16160,7918,57,1028382,Y,M
PVT00MICROV154,Q2,FY19,Microfinance,PVT Bank,Microfinance Loan,17680,6352,27,866762,Y,M
PVT00MICROV582,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,18020,7160,57,540243,N,M
PVT00MICROV1845,Q2,FY21,Microfinance,PVT Bank,Microfinance Loan,19800,6670,47,1135780,N,M
PVT00MICROV352,Q2,FY19,Microfinance,PVT Bank,Microfinance Loan,19440,9437,33,695179,N,F
